DATE,CPI
1987-12-31,108.9
1988-12-31,127.9
1989-12-31,106.6
1990-12-31,104.3
1991-12-31,104.5
1992-12-31,108.8
1993-12-31,118.8
1994-12-31,125.5
1995-12-31,110.1
1996-12-31,107.0
1997-12-31,100.4
1998-12-31,99.0
1999-12-31,99.0
2000-12-31,101.5
2001-12-31,99.7
2002-12-31,99.6
2003-12-31,103.2
2004-12-31,102.4
2005-12-31,101.6
2006-12-31,102.8
2007-12-31,106.5
2008-12-31,101.2
2009-12-31,101.9
2010-12-31,104.6
2011-12-31,104.1
2012-12-31,102.5
2013-12-31,102.5
2014-12-31,101.5
2015-12-31,101.6
2016-12-31,102.1
2017-12-31,101.8
2018-12-31,101.9
2019-12-31,104.5
2020-12-31,100.2
2021-12-31,101.5
2022-12-31,101.8
